Source: -20.0000, -9.2800, Error: 2.2361, Degree: 2
Source: -19.9200, -9.2800, Error: 2.2361, Degree: 2
Source: -19.9200, -9.3200, Error: 2.2361, Degree: 2
Source: -19.9200, -9.4000, Error: 2.2361, Degree: 2
Source: -20.0000, -9.4000, Error: 2.2361, Degree: 2
Source: -19.9200, -9.4800, Error: 2.2361, Degree: 2
Source: -20.0000, -9.5600, Error: 2.2361, Degree: 2
Source: -19.9200, -9.6000, Error: 2.2361, Degree: 2
Source: -20.0000, -9.6800, Error: 2.2361, Degree: 2
Source: -19.9200, -9.6800, Error: 2.2361, Degree: 2
Source: -19.9200, -9.7200, Error: 2.2361, Degree: 2
Source: -19.9200, -9.8000, Error: 2.2361, Degree: 2
Source: -20.0000, -9.8800, Error: 2.2361, Degree: 2
Source: -19.9200, -9.9600, Error: 2.2361, Degree: 2
Source: -19.9200, -10.0000, Error: 2.2069, Degree: 2
Source: -20.0000, -9.9600, Error: 2.2361, Degree: 2
Source: 12.9600, 1.0000, Error: 1.9132, Degree: 4
Source: 12.8000, 1.0000, Error: 2.2361, Degree: 4
Source: 12.8000, 0.9600, Error: 2.2361, Degree: 4
Source: 12.7200, 0.8800, Error: 2.2361, Degree: 4
Source: 12.5600, 0.8000, Error: 2.2361, Degree: 4
Source: 12.4000, 0.8000, Error: 2.2361, Degree: 4
Source: 12.2400, 0.8000, Error: 2.2361, Degree: 4
Source: 12.2400, 0.7600, Error: 2.2361, Degree: 4
Source: 12.2400, 0.7200, Error: 2.2361, Degree: 4
Source: 12.0800, 0.6400, Error: 2.2361, Degree: 4
Source: 12.0000, 0.5600, Error: 2.2361, Degree: 4
Source: 12.0000, 0.5200, Error: 2.2361, Degree: 4
Source: 11.8400, 0.5200, Error: 2.2361, Degree: 4
Source: 11.8400, 0.4400, Error: 2.2361, Degree: 4
Source: 11.6800, 0.4000, Error: 2.2361, Degree: 4
Source: 11.5200, 0.4000, Error: 2.2361, Degree: 4
Source: 11.5200, 0.3200, Error: 2.2361, Degree: 4
Source: 11.4400, 0.3200, Error: 2.2361, Degree: 4
Source: 11.4400, 0.2400, Error: 2.2361, Degree: 4
Source: 11.4400, 0.2000, Error: 2.2361, Degree: 4
Source: 11.4400, 0.1200, Error: 2.2361, Degree: 4
Source: 11.2800, 0.0400, Error: 2.2361, Degree: 4
Source: 11.2800, -0.0000, Error: 2.2361, Degree: 4
Source: 11.2000, -0.0000, Error: 2.2361, Degree: 4
Source: 11.1200, -0.0800, Error: 2.2361, Degree: 4
Source: 11.0400, -0.1600, Error: 2.2361, Degree: 4
Source: 10.8800, -0.2400, Error: 2.2361, Degree: 4
Source: 10.7200, -0.2800, Error: 2.2361, Degree: 4
Source: 10.5600, -0.3200, Error: 2.2361, Degree: 4
Source: 10.4000, -0.4000, Error: 2.2361, Degree: 4
Source: 10.2400, -0.4800, Error: 2.2361, Degree: 4
Source: 10.1600, -0.4800, Error: 2.2361, Degree: 4
Source: 10.0000, -0.4800, Error: 2.2361, Degree: 4
Source: 9.9200, -0.5600, Error: 2.2361, Degree: 4
Source: 9.9200, -0.6400, Error: 2.2361, Degree: 4
Source: 9.9200, -0.6800, Error: 2.2361, Degree: 4
