x: -14.7067, y: 1.8595, theta: 66.12
Source: -11.0220, 9.7595, Error: 4.0010, Degree: 4
Source: -11.1022, 9.7595, Error: 4.0007, Degree: 4
Source: -11.1824, 9.7194, Error: 4.0010, Degree: 4
Source: -11.1824, 9.6794, Error: 4.0008, Degree: 4
Source: -11.2625, 9.6794, Error: 4.0016, Degree: 4
Source: -11.3427, 9.6794, Error: 4.0032, Degree: 4
Source: -11.4228, 9.6393, Error: 4.0047, Degree: 4
Source: -11.5030, 9.5992, Error: 4.0067, Degree: 4
Source: -11.5030, 9.6393, Error: 4.0077, Degree: 4
Source: -11.5832, 9.5992, Error: 4.0102, Degree: 4
Source: -11.5832, 9.6393, Error: 4.0114, Degree: 4
Source: -11.5832, 9.6794, Error: 4.0128, Degree: 4
Source: -11.5030, 9.7194, Error: 4.0100, Degree: 4
Source: -11.5030, 9.7595, Error: 4.0112, Degree: 4
Source: -11.5030, 9.7996, Error: 4.0126, Degree: 4
Source: -11.4228, 9.7996, Error: 4.0086, Degree: 4
Source: -11.4228, 9.7595, Error: 4.0075, Degree: 4
Source: -11.4228, 9.7194, Error: 4.0065, Degree: 4
Source: -11.3427, 9.7595, Error: 4.0046, Degree: 4
Source: -11.2625, 9.7996, Error: 4.0031, Degree: 4
Source: -11.3427, 9.7996, Error: 4.0055, Degree: 4
Source: -11.5832, 9.7194, Error: 4.0142, Degree: 4
Source: -11.5030, 9.6794, Error: 4.0088, Degree: 4
Source: -11.5832, 9.7595, Error: 4.0157, Degree: 4
Source: -11.6633, 9.7996, Error: 4.0229, Degree: 4
Source: -11.6633, 9.7194, Error: 4.0193, Degree: 4
Source: -11.7435, 9.7595, Error: 4.0271, Degree: 4
Source: -11.8236, 9.7996, Error: 4.0363, Degree: 4
Source: -11.7435, 9.8397, Error: 4.0314, Degree: 4
Source: -11.7435, 9.8798, Error: 4.0336, Degree: 4
Source: -11.7435, 9.7996, Error: 4.0292, Degree: 4
Source: -11.9038, 9.8397, Error: 4.0469, Degree: 4
Source: -11.9840, 9.8798, Error: 4.0588, Degree: 4
Source: -11.9840, 9.8397, Error: 4.0559, Degree: 4
Source: -11.9038, 9.8798, Error: 4.0496, Degree: 4
Source: -11.8236, 9.9198, Error: 4.0438, Degree: 4
Source: -11.8236, 9.8798, Error: 4.0412, Degree: 4
Source: -11.9038, 9.7996, Error: 4.0443, Degree: 4
Source: -11.9840, 9.7996, Error: 4.0530, Degree: 4
Source: -12.0641, 9.7996, Error: 4.0625, Degree: 4
Source: -12.0641, 9.7595, Error: 4.0595, Degree: 4
Source: -12.0641, 9.7194, Error: 4.0565, Degree: 4
Source: -11.9840, 9.6794, Error: 4.0448, Degree: 4
Source: -11.9840, 9.7595, Error: 4.0502, Degree: 4
Source: -12.1443, 9.7996, Error: 4.0728, Degree: 4
Source: -12.1443, 9.7595, Error: 4.0695, Degree: 4
